250 3000
134 12 778499
117 63 194632
234 112 51925
215 185 394089
22 154 108633
88 162 594234
100 177 189434
182 27 505656
79 241 237371
31 203 951778
179 130 928212
58 222 550720
94 236 599502
105 25 437218
32 154 321233
249 33 207674
33 105 869888
245 191 402014
133 188 354663
106 141 47656
101 35 821579
112 87 644723
193 184 615015
231 159 842661
11 79 954527
27 68 937754
210 2 132024
171 105 167312
156 65 487845
40 154 758950
219 163 157608
192 185 58909
28 131 613990
26 219 39071
202 186 835429
74 206 49985
68 98 317331
41 106 574594
187 71 931218
68 232 296640
231 163 196006
130 221 674655
202 31 996860
66 53 752413
180 20 673133
52 180 657941
191 215 619891
199 207 274149
195 235 808112
243 40 450613
59 88 734846
210 217 80352
129 146 993264
214 165 377336
30 177 27567
210 27 16413
116 115 602648
83 231 660391
123 182 498589
232 222 954337
248 149 387577
214 220 6031
84 162 958968
103 96 959412
183 170 437557
75 189 352485
112 14 9471
118 130 723408
238 87 785094
11 180 385477
75 78 354133
79 215 718127
121 186 540000
132 234 516234
224 91 452281
141 204 166328
84 11 937209
137 36 345106
134 101 397916
8 127 819662
51 225 263793
112 37 548313
56 59 546901
161 160 612413
208 48 453077
164 234 499959
4 17 16632
78 67 899658
30 240 323078
145 21 350143
149 96 727949
204 226 557598
200 230 163456
210 223 573950
142 105 594213
126 106 3095
86 106 587005
105 114 574614
13 215 48078
194 157 116787
106 20 753727
238 16 724606
199 114 116975
87 110 857378
205 104 690293
123 46 186783
128 226 768695
234 154 503214
91 131 37502
130 79 689940
241 154 447736
120 235 440978
34 115 33937
214 137 999302
204 39 741336
108 157 826077
247 11 143942
191 123 724650
5 191 819631
48 63 460489
141 226 936758
146 113 824352
140 228 167860
194 108 652900
239 16 495621
28 84 769266
90 219 228890
205 169 619298
231 124 209800
2 107 453102
27 133 924032
87 44 371590
85 4 364938
103 106 286633
219 222 4557
38 173 574451
57 26 13938
144 1 786394
68 228 128930
126 180 579291
103 193 788871
246 102 600023
249 191 650097
127 20 171147
112 116 734620
109 97 311671
85 50 918004
160 239 423002
105 32 712974
43 50 198989
177 154 565376
78 2 889012
39 46 714994
223 82 470532
118 102 600959
106 108 20239
85 223 66325
115 138 566628
191 167 145860
156 8 844017
49 11 931428
85 115 300713
75 73 790976
115 63 332324
85 118 20659
202 80 695683
151 75 471707
31 218 627584
81 149 485154
30 152 198455
12 102 328039
54 64 822683
46 179 207073
97 75 745496
159 241 661046
79 72 162071
121 219 487004
130 157 200042
106 42 779539
211 46 102480
93 38 897659
222 9 847964
25 218 76053
57 248 537193
203 233 129608
168 209 585769
14 101 961880
191 127 690426
18 204 9148
219 93 493778
191 69 85262
241 37 308321
28 178 610717
45 95 693442
95 7 514554
209 51 156330
27 109 774406
62 102 821127
26 218 944196
246 125 344868
83 3 92561
23 169 521266
51 120 414064
238 218 690185
1 14 296216
145 32 487634
40 120 760305
59 229 125073
21 117 15647
200 58 412890
60 202 915746
72 62 416412
53 1 712407
225 154 97364
92 125 235101
213 100 17731
54 86 223620
36 83 268873
232 132 593580
30 106 647490
99 131 373766
72 146 750008
112 247 5796
3 10 630220
144 63 793149
85 154 638775
141 195 663578
62 177 691059
175 159 913742
7 70 571250
43 50 527221
178 153 845690
215 9 348875
155 233 887174
50 85 95210
113 211 317954
184 235 817336
48 205 980674
83 129 315470
190 110 205909
29 183 377648
30 162 838978
49 43 922382
93 27 69914
165 120 667886
242 71 982128
232 240 113730
231 58 465438
189 88 82672
122 205 959969
81 98 628071
14 133 926787
59 28 53759
147 174 823185
179 138 492788
212 200 919120
19 147 251154
127 9 570371
168 229 899276
124 239 582685
153 77 926616
79 230 135551
239 45 987161
10 7 226721
233 148 128541
226 203 836209
153 11 720641
146 46 17121
177 54 943436
85 79 254115
238 89 956666
244 139 683200
219 114 71388
221 53 20256
135 120 269121
67 74 49638
204 144 405198
27 169 21741
203 141 277808
78 234 408598
97 126 410650
122 214 532845
221 211 971766
196 17 752536
153 5 795378
142 91 471065
159 98 5799
26 44 618312
109 9 353191
93 135 394657
95 247 242812
28 46 603137
142 17 691504
52 207 253994
164 163 75485
25 102 879410
137 85 640530
248 147 691693
2 110 740258
230 103 36035
249 149 699426
192 78 239345
60 29 752545
110 67 486828
118 151 390573
237 164 747630
6 61 436521
56 38 648667
91 191 166593
12 45 415174
1 60 304340
171 230 417287
214 229 206029
45 116 132841
8 119 415235
206 61 940254
75 164 636652
123 170 586700
78 197 354796
105 104 394640
6 152 774536
221 85 396558
24 152 322646
84 34 355646
133 107 116834
52 230 287728
98 209 158636
180 103 804746
3 109 245430
135 248 392248
192 138 672695
148 230 814596
3 67 321220
87 181 423913
99 19 194862
38 26 88823
70 92 59761
37 183 259433
79 60 965680
30 246 384534
195 235 426324
212 121 100984
212 221 27354
124 196 263566
38 199 378902
130 211 953041
41 200 863931
33 239 404017
130 176 296633
151 133 493543
74 7 466797
37 194 947972
168 1 749442
211 126 549958
59 17 598278
25 185 551534
19 67 389754
20 141 996621
212 112 255475
163 248 412358
151 141 244182
144 176 325772
201 221 454189
227 108 792640
246 242 14207
125 16 999174
238 22 602637
109 30 828667
75 34 115188
190 140 391949
195 183 129732
234 76 781106
174 37 678163
107 62 718718
160 246 960685
56 149 858630
245 15 279424
127 206 788705
236 55 111563
8 209 510380
144 157 223909
88 6 608294
216 201 315670
33 51 965952
69 136 148640
34 133 334469
193 194 269496
19 114 214574
167 232 288643
26 191 503803
215 177 282590
247 33 480385
81 88 223677
39 126 587110
93 214 910129
190 188 292178
43 136 532766
12 94 439365
106 115 498412
225 8 349462
210 122 648832
74 146 914390
36 129 583439
16 48 43596
17 115 899402
121 48 755604
74 245 835706
71 6 316299
166 74 938007
241 43 79060
240 53 283485
16 216 988076
14 93 948092
192 207 500740
245 186 822292
68 35 220577
241 44 901998
85 168 375175
56 201 939992
76 62 38361
190 116 39562
95 176 901624
163 232 707159
42 165 534295
114 168 759543
36 51 950274
215 249 574765
217 176 19095
131 245 191855
213 153 770273
77 246 691508
117 247 664739
81 16 216035
115 220 815936
150 133 118271
20 134 564736
217 38 269636
181 54 143607
56 180 93932
45 40 662649
11 66 733287
215 24 210984
54 153 371807
108 203 69901
186 232 606921
29 169 386749
45 135 754322
240 38 38977
150 142 475449
152 118 654088
64 170 901074
231 6 56781
21 86 203739
201 47 273536
40 68 473101
208 10 837412
56 14 675792
210 78 486364
202 123 117263
117 91 56938
185 213 150588
26 55 687575
22 166 398803
184 1 434239
43 105 171752
134 85 162759
8 54 944638
131 94 422186
175 24 984271
11 164 656226
195 197 200240
38 211 737388
9 176 869949
5 180 244631
124 117 375099
240 102 386602
231 168 841753
236 118 469198
149 216 178109
94 53 883326
198 145 594955
118 93 479172
86 113 522578
0 32 532899
4 15 723458
48 126 128462
8 116 851114
19 178 800388
234 183 210709
82 32 510512
130 18 115905
11 0 480168
241 72 226002
145 192 815714
137 222 268725
155 56 543300
8 221 604956
65 144 70631
42 124 497850
190 244 125349
97 95 355509
229 139 141202
54 68 74481
120 148 225024
188 69 186211
120 185 900959
40 21 13471
9 74 445792
216 77 254200
234 193 679346
196 168 361153
51 135 723187
95 190 508402
91 119 508727
123 75 460100
40 172 611898
87 248 417226
75 134 349214
117 10 463898
30 66 165907
107 203 157841
118 198 239930
79 20 987697
73 95 492205
93 100 397053
220 42 398206
212 240 599365
217 87 120144
36 64 234377
216 42 116700
84 111 254878
21 241 902478
90 103 942659
206 43 69314
109 109 343708
118 106 910481
123 120 901992
73 54 167418
60 173 630005
220 245 928267
200 230 329265
56 38 396965
136 28 259401
43 120 582396
200 46 559930
160 71 664157
175 60 871316
169 102 741484
129 166 600640
172 79 69741
203 203 267978
55 242 932462
153 173 11344
55 227 682870
42 52 684361
216 94 248340
50 34 904200
49 85 128488
181 187 721456
12 248 438525
217 203 935101
227 20 415905
193 119 271061
54 193 622720
12 59 100740
182 52 435438
133 226 98332
68 10 933692
236 198 500501
89 74 903909
145 18 602155
6 89 52998
131 225 403282
28 169 891044
156 84 971457
115 154 329334
7 191 687725
74 87 450929
104 89 448622
141 186 823638
207 181 738288
185 155 550070
227 152 325158
137 74 602416
241 245 53727
92 51 304095
245 218 576439
134 128 556282
164 64 392064
27 17 379483
72 238 26402
31 55 480297
240 121 612036
212 24 201972
244 215 982349
77 157 421976
42 215 427590
61 72 8403
201 59 632414
144 128 497564
243 216 197688
114 56 648668
64 204 455851
208 84 210478
133 154 581989
6 203 902762
110 9 712214
38 20 256187
69 138 848729
112 249 716977
169 210 9919
123 134 650195
88 158 188646
86 206 947381
22 20 334361
83 71 201844
56 163 898889
20 223 372211
211 116 718246
79 202 777915
143 182 327537
19 74 541011
135 185 544709
200 113 128623
91 90 416808
247 107 942223
59 49 825585
211 40 865586
233 228 211027
92 249 384044
195 159 557069
200 242 411405
62 133 61468
49 105 587931
107 191 973219
78 96 344606
12 9 154359
108 102 883636
112 154 302452
130 6 254441
231 98 883145
111 42 884695
47 135 807601
187 49 651520
206 249 947309
30 150 568423
113 45 600272
0 96 42904
26 194 493914
147 173 116204
240 154 555649
116 146 288562
198 6 493671
107 210 755917
65 31 300296
109 135 406635
243 212 566263
238 89 506031
122 77 222445
137 148 847529
175 7 774520
239 93 387062
215 1 930710
182 92 538667
87 119 104333
127 114 980254
26 160 552062
247 183 824947
186 192 87380
71 195 310525
170 217 210566
79 55 812058
209 115 658698
93 109 38624
53 247 977457
60 149 667385
142 160 64979
61 161 148872
42 105 213302
133 102 905144
19 97 641566
64 190 531144
26 35 694582
104 243 39357
241 158 431982
240 182 927556
205 221 215189
156 41 314042
37 245 151548
189 189 997905
166 2 185196
71 194 477402
28 153 175744
242 224 759724
200 163 311460
199 54 760018
86 65 91159
108 112 391777
125 179 42599
190 144 296457
18 182 853063
202 98 721218
106 239 561209
249 42 705004
170 187 752807
46 239 970376
218 10 287532
216 223 357977
129 134 965666
179 209 483218
97 235 699064
158 246 828526
79 136 948834
124 122 58497
200 147 694128
93 88 964533
241 229 320273
75 131 897077
42 141 626584
13 17 872694
81 140 548803
110 95 931631
130 12 900572
231 195 769313
133 214 65273
153 242 846538
195 194 760996
219 109 226270
143 62 836743
25 122 320736
231 102 770572
226 24 437820
69 163 983582
32 177 375934
20 159 630648
18 211 928698
149 233 930860
207 95 661003
131 74 765260
104 152 924541
244 15 505063
195 72 81604
214 115 297409
178 52 390807
116 13 230769
49 194 817492
92 224 626010
69 31 851577
83 247 700766
155 131 22875
234 228 517822
73 138 90237
211 236 722329
0 40 167174
86 21 517224
140 123 834906
234 205 218285
23 229 336845
194 148 319618
174 51 126636
20 41 185832
53 225 731030
227 189 135704
10 98 664551
64 187 893219
31 148 606701
93 104 439856
145 178 807457
238 187 162405
54 98 720613
94 217 402558
249 240 19201
166 178 380078
233 2 275287
186 67 325437
27 42 14864
32 96 405783
194 196 325565
41 153 436642
34 156 827363
122 100 480223
88 31 380787
241 87 878067
66 165 714474
57 125 260169
50 96 221330
148 125 296828
246 158 714784
83 92 193705
115 115 166897
73 200 400041
42 207 746839
99 143 999239
22 236 876929
99 149 298423
61 214 773415
170 170 813987
179 180 661836
200 234 317964
0 217 441979
45 66 400735
189 199 167314
119 33 92015
191 186 62528
2 70 376642
151 103 800009
70 23 39258
125 234 891188
31 158 362593
106 111 155384
214 118 461107
25 218 339855
41 12 460256
216 15 915512
221 108 645090
80 97 389465
38 175 687711
44 128 857486
131 57 354308
108 247 459343
53 63 829881
12 120 447152
75 249 652421
231 125 624315
14 188 338798
43 178 520475
239 67 540053
134 120 597015
248 102 325097
140 131 434518
23 77 981689
33 71 138598
22 197 318628
180 190 679758
12 217 124681
159 112 521367
56 167 354224
238 67 213525
71 200 161474
37 206 864927
248 34 769561
174 171 179073
111 232 190649
137 54 886618
219 189 623279
225 244 212774
183 156 325815
245 49 151398
187 15 62760
47 18 434680
167 148 539692
7 244 651781
79 98 187817
154 172 967304
129 82 780804
145 9 862452
195 63 560299
149 36 54497
138 136 162205
163 237 952532
148 65 120003
148 174 72007
56 173 552418
80 144 954556
237 151 520067
104 5 385237
89 36 49786
212 118 339682
14 141 552260
24 179 536312
186 205 489185
241 157 807277
82 100 372046
182 229 199956
54 37 839264
184 176 977248
133 74 883222
112 186 608250
68 10 232671
195 42 228077
217 3 914030
41 145 52107
6 199 294624
65 126 245916
113 5 494468
119 152 340981
139 179 798095
199 132 156382
112 189 285130
234 177 887504
121 140 26941
175 129 215098
49 138 14459
134 184 501660
25 193 285492
106 116 512475
40 127 28229
100 49 827042
26 198 448876
237 246 780605
31 161 829514
33 27 530221
187 37 455140
36 249 729402
11 180 199433
4 28 138797
97 128 516628
42 89 71549
234 139 559202
11 218 48047
165 69 946758
35 248 276298
33 217 297600
27 140 165506
13 196 937932
59 82 395248
212 5 435479
87 44 695474
62 185 297876
77 88 912405
34 243 600021
211 193 348642
60 91 217888
5 113 185317
127 135 355678
126 133 353937
92 225 557274
133 197 447198
183 23 733112
109 202 114547
45 111 686349
205 150 225282
142 163 512782
94 220 683953
42 116 932918
173 69 668131
66 148 391000
243 237 156615
7 232 781889
197 209 751628
51 164 444767
212 206 253249
221 53 749655
19 229 373786
159 62 392999
212 194 704667
129 202 834652
66 30 531423
176 58 415278
143 145 452091
217 171 33919
225 160 595318
121 26 749978
79 171 821844
149 35 244018
27 108 483312
182 108 927224
94 172 253152
121 239 146177
197 197 285345
84 186 860711
83 136 350658
131 91 443591
81 138 95504
209 199 276635
141 132 516351
245 19 511620
181 173 379586
72 243 284294
32 123 848352
99 234 254739
0 184 189866
121 211 534681
122 30 636013
248 225 380159
147 49 899960
25 140 21041
233 90 793616
162 230 634364
73 211 950275
85 96 330133
214 201 651533
20 211 581947
87 117 718427
4 152 510244
179 53 301922
50 167 429791
160 98 884087
119 249 320404
3 166 537928
35 116 222421
46 180 695617
147 125 107486
33 96 78476
44 102 393032
139 23 700417
34 245 50750
218 38 972051
171 197 302010
143 77 771893
113 146 638687
